# #181 측정 2026-09-22T09:13:24 · model=gpt-5.6-terra · 회수=5

## A 무자료 — noSource:true 5/5
질문 : 우리 회사 연차 휴가 신청 절차와 규정 알려줘.
1. {"noSource": true, "citations": [], "answerHead": "업로드된 사내 문서에서는 **연차 휴가의 신청 절차·사용 가능 일수·승인권자·사전 신청 기한·이월/소멸 규정**을 찾지 못했습니다.\n\n일반적으로는 근태/HR 시스템에서 휴가 종류와 기간을 선택해 신청한 뒤, 소속 팀"}
2. {"noSource": true, "citations": [], "answerHead": "검색된 사내 문서에서는 **연차 휴가의 신청 절차·승인 기준·발생/사용 규정**을 찾지 못했습니다. 현재 확인 가능한 자료는 서보 드라이브 매뉴얼과 필드클레임 현황으로, 인사·휴가 관련 내용은 포함되어 있지 않습니다"}
3. {"noSource": true, "citations": [], "answerHead": "업로드된 사내 문서에서 **연차 휴가의 신청 절차·승인 기준·사용 가능 일수·이월·증빙 등 관련 규정은 찾지 못했습니다.** 현재 검색되는 자료는 서보 드라이브 기술 매뉴얼과 필드 클레임 현황이며, 인사·휴가 규정은"}
4. {"noSource": true, "citations": [], "answerHead": "업로드된 사내 문서에서는 **연차 휴가의 신청 절차·사용 기준·승인 규정**을 찾지 못했습니다. 현재 검색되는 자료는 서보 드라이브 매뉴얼과 필드 클레임 현황으로, 인사·휴가 규정은 포함되어 있지 않습니다.\n\n일반적"}
5. {"noSource": true, "citations": [], "answerHead": "업로드된 사내 문서에서는 **연차 휴가 신청 절차·승인 기준·발생/사용 규정**을 찾지 못했습니다. 현재 검색되는 자료는 주로 서보드라이브 기술 매뉴얼과 필드클레임 현황입니다.\n\n일반적으로는 다음과 같은 방식으로 운"}

## B 유자료(AS) — noSource:true 0/5
질문 : 터렛 서보 드라이브에서 AL.2144 저전압 알람으로 AS 접수가 들어왔어. 현장 AS 기사가 어떤 순서로 점검하고 조치하면 돼? 과거 AS 사례에서는 어떻게 처리했어?
1. {"noSource": false, "citations": ["필드클레임현황.md"], "answerHead": "다음 순서로 현장 점검·조치하는 것이 과거 AS 처리 패턴에 가장 부합합니다. **AL.2144는 드라이브 입력전압 저하 경보이므로, 외부 전원계통 이상과 드라이브 자체 이상을 구분**하는 것이 핵심입니다.\n\n## "}
2. {"noSource": false, "citations": ["필드클레임현황.md"], "answerHead": "AL.2144는 **터렛 서보 드라이브 입력 저전압(드라이브 표시: AL/ALP/AL1-UU)** 관련 알람입니다. 현장에서는 단순 재기동으로 끝내지 말고, **실제 입력전원·전원경로·커넥터를 먼저 배제한 뒤 드라이"}
3. {"noSource": false, "citations": ["필드클레임현황.md"], "answerHead": "AL.2144는 **터렛 서보 드라이브 입력전압 저전압** 알람이며, 드라이브 표시상으로는 대개 **AL1-UU/AL-UU**가 함께 확인됩니다. 현장에서는 실제 공급전원 이상을 먼저 배제한 뒤, 이상이 없고 재발하"}
4. {"noSource": false, "citations": ["필드클레임현황.md"], "answerHead": "AL.2144는 **터렛 서보 드라이브 입력 저전압(드라이브 표시 AL1/ALP-UU)** 계열로 보고, 현장에서는 아래 순서로 점검하는 것이 과거 사례와 가장 부합합니다.\n\n## 현장 점검·조치 순서\n\n1. **알"}
5. {"noSource": false, "citations": ["필드클레임현황.md"], "answerHead": "현장에서는 아래 순서로 점검·조치하는 것이 과거 AS 처리 흐름과 가장 일치합니다.\n\n### 1. 알람 상태 및 재현성 확인\n- CNC의 **AL.2144**와 드라이브 표시부의 **AL1/ALP-UU** 발생 여부"}
